response,predictor,r2_part,R2_model,p,estimate,effect_size,effect_size_st,lambda,formula
AG.Decomposers.Stock,sowndiv,0.095,0.38254239912315163,0.007927970785049736,-2.291582113113471,0.001034447723013644,0.3448042330270827,0.40000000000000036,(AG.Decomposers.Stock ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
AG.Decomposers.Stock,numfg,0.055,0.3140873902416054,0.04149869476492872,0.027613828435306163,0.0010705683808462714,0.25873931731871525,0.40000000000000036,(AG.Decomposers.Stock ^ lambda -1)/lambda ~ block + numfg + sowndiv
AG.Decomposers.Stock,leg.ef,0.095,0.3825423991231519,0.007977661086010515,-0.020782724279933155,0.00256509515362562,0.2682744626432723,0.40000000000000036,(AG.Decomposers.Stock ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
AG.Decomposers.Stock,gr.ef,0,0.38254239912315186,0.9611839492670098,0.03837602570567638,4.9169096936529065e-5,0.005142426408883047,0.40000000000000036,(AG.Decomposers.Stock ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
AG.Decomposers.Stock,sh.ef,0.038,0.3825423991231518,0.09893724607615247,0.037491536026116774,0.0016348192576876438,0.17124856940313643,0.40000000000000036,(AG.Decomposers.Stock ^ lambda -1)/lambda ~ block + sh.ef + sowndiv + leg.ef + gr.ef + th.ef
AG.Decomposers.Stock,th.ef,0.003,0.38254239912315186,0.6665811389799685,0.021756921641254465,-4.293345618137899e-4,-0.04480373329089963,0.40000000000000036,(AG.Decomposers.Stock ^ lambda -1)/lambda ~ block + th.ef + sowndiv + leg.ef + gr.ef + sh.ef
BG.Herbivores.Stock,sowndiv,0.004,0.06455011486110335,0.6118476353400227,-3.6729715625008037,0.003538785070080858,0.003770519586821369,-0.19999999999999996,(BG.Herbivores.Stock ^ lambda -1)/lambda ~ block + sowndiv + leg.ef + gr.ef + sh.ef + th.ef
BG.Herbivores.Stock,numfg,0,0.024707944994402747,0.9051086953827814,-0.18154881209731244,-0.0010584216583957213,-8.176919226767407e-4,-0.19999999999999996,(BG.Herbivores.Stock ^ lambda -1)/lambda ~ block + numfg + sowndiv
BG.Herbivores.Stock,leg.ef,0.01,0.06455011486110337,0.3901329636736024,-0.9200607147224619,-0.015553397949488922,-0.0051997697300470965,-0.19999999999999996,(BG.Herbivores.Stock ^ lambda -1)/lambda ~ block + leg.ef + sowndiv + gr.ef + sh.ef + th.ef
BG.Herbivores.Stock,gr.ef,0,0.06455011486110333,0.9965591525374973,-0.7346420981423487,8.104300532562475e-5,2.7094077274482415e-5,-0.19999999999999996,(BG.Herbivores.Stock ^ lambda -1)/lambda ~ block + gr.ef + sowndiv + leg.ef + sh.ef + th.ef
